MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,MAC10,MAC11,MAC12,MAC13,MAC14,MAC15,MAC16,MAC17,MAC18,MAC19,MAC20,MAC21,MAC22,MAC23,MAC24,MAC25,MAC26,MAC27,MAC28,MAC29,MAC30,MAC31,MAC32,MAC33,MAC34,MAC35,MAC36,MAC37,MAC38,MAC39,MAC40,MAC41,MAC42,MAC43,MAC44,MAC45,MAC46,MAC47,MAC48,MAC49,MAC50,MAC51,MAC52,ECoord,NCoord,FloorID,BuildingID,SceneID,UserID,PhoneID,SampleTimes
-44,-50,-74,-87,-89,100,-95,100,-83,100,-90,100,-91,100,100,100,-84,-84,100,100,-40,-46,100,100,-93,100,100,100,100,100,-95,100,100,100,-89,100,100,100,100,100,-91,100,-88,100,-84,100,-80,-84,-92,100,100,100,46,18.5,1,1,1,4,3,1
-42,-48,-66,-84,-88,100,-92,100,-87,100,-90,100,-89,100,100,100,-80,-83,100,100,-42,-46,-93,100,-93,100,100,100,100,100,-92,100,100,100,-85,100,100,100,100,100,-91,100,-85,100,-88,100,-82,-84,-92,100,100,100,46.5,18.5,1,1,1,4,3,1
-41,-50,-70,-84,-93,-88,-94,100,-85,100,-92,100,-90,100,100,100,-81,-83,100,100,-40,-47,-92,100,-94,100,100,100,100,100,-94,100,100,100,-82,100,100,100,100,100,-92,100,-84,100,-90,100,-82,-82,-92,100,100,100,46.9,18.5,1,1,1,4,3,1
-49,-52,-69,-85,-88,-88,100,100,-89,100,-92,100,-92,100,100,100,-83,-85,100,100,-38,-45,-92,100,100,100,100,100,100,100,-93,100,100,100,-89,100,100,100,100,100,-91,100,-86,100,-91,100,-80,-76,-91,100,100,100,47.4,18.5,1,1,1,4,3,1
-55,-51,-71,-85,-88,-89,-92,100,-78,100,-81,100,-89,100,100,100,-82,-86,100,100,-39,-46,100,100,-89,100,100,100,-87,100,-94,100,100,100,-89,100,100,100,100,100,-89,100,-85,100,-76,100,-84,-80,-93,100,100,100,45,19,1,1,1,4,3,1
-43,-50,-72,-85,-87,-89,-94,100,-82,100,-85,100,-91,100,100,100,-80,-87,100,100,-38,-47,100,100,100,100,100,100,100,100,-90,100,100,100,-88,100,100,100,100,100,-90,100,-85,100,-86,100,-84,-79,-93,100,100,100,45.5,19,1,1,1,4,3,1
-40,-51,-70,-85,-84,100,-90,100,-85,100,-88,100,-91,100,100,100,-82,-88,100,100,-42,-44,100,100,100,100,100,100,100,100,-91,100,100,100,-85,100,100,100,100,100,-89,100,-85,100,-88,100,-82,-82,100,100,100,100,46,19,1,1,1,4,3,1
-40,-52,-70,-81,-85,100,-91,100,-82,100,-91,100,-91,100,100,100,-80,-88,100,100,-37,-43,-93,100,100,100,100,100,100,100,-92,100,100,100,-91,100,100,100,100,100,-93,100,-86,100,-89,100,-83,-84,-92,100,100,100,46.5,19,1,1,1,4,3,1
-47,-62,-67,-83,-87,-89,-91,100,-86,100,-91,100,-89,100,100,100,-85,-86,100,100,-50,-41,-92,100,100,100,100,100,100,100,-92,100,100,100,-88,100,100,100,100,100,-93,100,-85,100,-87,100,-82,-81,-91,100,100,100,46.9,19,1,1,1,4,3,1
-45,-54,-63,-81,-87,-87,-88,100,-87,100,-92,100,-92,100,100,100,-81,-82,100,100,-43,-47,100,100,-93,100,100,100,100,100,-92,100,100,100,-85,100,100,100,100,100,-89,100,-82,100,-89,100,-84,-78,-89,100,100,100,47.4,19,1,1,1,4,3,1
-42,-50,-66,-85,-90,-89,-92,100,-86,100,-87,100,-91,100,100,100,-82,-88,100,100,-50,-46,100,100,-93,100,100,100,100,100,-92,100,100,100,-88,100,100,100,100,100,-88,100,-85,100,-89,100,-87,-81,-92,100,100,100,45,19.5,1,1,1,4,3,1
-39,-50,-72,-88,100,100,-92,100,-87,100,-89,100,-91,100,100,100,-79,-88,100,100,-45,-46,100,100,-93,100,100,100,100,100,-94,100,100,100,-89,100,100,100,100,100,-93,100,-88,100,-84,100,-83,-82,-93,100,100,100,45.5,19.5,1,1,1,4,3,1
-47,-48,-74,-85,-90,100,100,100,-86,100,-87,100,-91,100,100,100,-82,-87,100,100,-37,-51,100,100,-93,100,100,100,100,100,-91,100,100,100,-87,100,100,100,100,100,-90,100,-85,100,-87,100,-82,-83,-93,100,100,100,46,19.5,1,1,1,4,3,1
-45,-54,-72,-86,100,100,-90,100,-86,100,-90,100,-91,100,100,100,-84,-86,100,100,-37,-46,100,100,100,100,100,100,100,100,-90,100,100,100,-86,100,100,100,100,100,100,100,-88,100,-90,100,-78,-81,-90,100,100,100,46.5,19.5,1,1,1,4,3,1
-41,-52,-68,-84,100,100,-89,100,-86,100,-91,100,-92,100,100,100,-85,-86,100,100,-45,-50,100,100,-95,100,100,100,100,100,-91,100,100,100,-80,100,100,100,100,100,-91,100,-82,100,-89,100,-81,-80,-89,100,100,100,46.9,19.5,1,1,1,4,3,1
-41,-51,-67,-86,-91,-89,-90,100,-85,100,-91,100,-92,100,100,100,-82,-84,100,100,-43,-51,100,100,-95,100,100,100,100,100,-88,100,100,100,-83,100,100,100,100,100,-89,100,-80,100,-90,100,-83,-78,-92,100,100,100,47.4,19.5,1,1,1,4,3,1
-44,-50,-67,-87,-91,-89,-89,100,-86,100,-91,100,-92,100,100,100,-82,-85,100,100,-42,-48,100,100,100,100,100,100,100,100,-85,100,100,100,-87,100,100,100,100,100,-92,100,-84,100,-89,100,-83,-79,-92,100,100,100,45,20,1,1,1,4,3,1
-47,-46,-70,-83,-91,100,100,100,-84,100,-90,100,-90,100,100,100,-87,-85,100,100,-37,-48,100,100,100,100,100,100,100,100,-78,100,100,100,-86,100,100,100,100,100,-92,100,-87,100,-93,100,-82,-85,-93,100,100,100,45.5,20,1,1,1,4,3,1
-41,-44,-70,-84,-92,100,-94,100,-85,100,-90,100,-89,100,100,100,-81,-86,100,100,-35,-52,-94,100,-92,100,100,100,100,100,100,100,100,100,-82,100,100,100,100,100,-92,100,-88,100,-86,100,-82,-81,-92,100,100,100,46,20,1,1,1,4,3,1
-36,-48,-70,-82,-85,100,-93,100,-84,100,-92,100,100,100,100,100,-84,-88,100,100,-38,-49,-94,100,-94,100,100,100,100,100,-88,100,100,100,-77,100,100,100,100,100,-92,100,-87,100,-90,100,-83,-82,-89,100,100,100,46.5,20,1,1,1,4,3,1
-35,-50,-69,-80,-91,100,-93,100,-85,100,-91,100,100,100,100,100,-85,-87,100,100,-41,-48,100,100,-94,100,100,100,100,100,-90,100,100,100,-76,100,100,100,100,100,-90,100,-87,100,-91,100,-83,-82,-91,100,100,100,46.9,20,1,1,1,4,3,1
-38,-52,-72,-82,-86,100,-92,100,-85,100,-90,100,100,100,100,100,-83,-85,100,100,-38,-53,100,100,100,100,100,100,100,100,-87,100,100,100,-79,100,100,100,100,100,-87,100,-89,100,-89,100,-82,-80,-93,100,100,100,47.4,20,1,1,1,4,3,1
-39,-46,-71,-84,-86,100,-93,100,-90,100,-91,100,100,100,100,100,-78,-87,100,100,-36,-51,100,100,100,100,100,100,100,100,-92,100,100,100,-79,100,100,100,100,100,-87,100,-89,100,-89,100,-83,-82,100,100,100,100,45,20.5,1,1,1,4,3,1
-49,-43,-74,-85,-86,100,-93,100,-89,100,-92,100,-94,100,100,100,-75,-87,100,100,-41,-48,100,100,-93,100,100,100,100,100,-93,100,100,100,-89,100,100,100,100,100,-94,100,-86,100,-90,100,-85,-85,100,100,100,100,45.5,20.4,1,1,1,4,3,1
-40,-50,-75,-87,-86,100,100,100,-90,100,-92,100,-94,100,100,100,-79,-86,100,100,-39,-52,100,100,-93,100,100,100,100,100,-92,100,100,100,-88,100,100,100,100,100,-94,100,-85,100,-89,100,-88,-88,100,100,100,100,46,20.4,1,1,1,4,3,1
-36,-49,-62,-88,100,100,-93,100,-87,100,100,100,-92,100,100,100,-84,-84,100,100,-41,-49,-95,100,100,100,100,100,100,100,-91,100,100,100,-82,100,100,100,100,100,-92,100,-87,100,-87,100,-77,-85,-91,100,100,100,46.5,20.4,1,1,1,4,3,1
-40,-47,-60,-85,-90,-85,-93,100,-87,100,100,100,-92,100,100,100,-83,-83,100,100,-37,-52,-95,100,100,100,100,100,100,100,-91,100,100,100,-78,100,100,100,100,100,-92,100,-86,100,-86,100,-83,-78,-91,100,100,100,46.9,20.4,1,1,1,4,3,1
-41,-45,-77,-84,-90,-85,-93,100,-87,100,-90,100,100,100,100,100,-83,-83,100,100,-37,-50,100,100,100,100,100,100,100,100,-91,100,100,100,-76,100,100,100,100,100,-94,100,-88,100,-89,100,-89,-76,100,100,100,100,47.4,20.4,1,1,1,4,3,1
-37,-45,-59,-81,-88,-89,-94,100,-86,100,-91,100,-91,100,100,100,-73,-81,100,100,-49,-51,-91,100,100,100,100,100,100,100,-86,100,100,100,-84,100,100,100,100,100,-87,100,-84,100,-84,100,-79,-74,-85,100,100,100,48.1,17.5,1,1,1,4,3,1
-32,-44,-61,-81,-89,-88,100,100,-88,100,-92,100,-92,100,100,100,-76,-82,100,100,-45,-54,-93,100,100,100,-93,100,100,100,-83,100,100,100,-82,-88,100,100,100,100,-91,100,-83,100,-89,100,-79,-77,-86,100,100,100,48.7,17.5,1,1,1,4,3,1
-37,-52,-61,-81,-85,-88,-92,100,-92,100,-92,100,-93,100,100,100,-73,-81,100,100,-43,-55,-93,100,-93,100,-94,100,-94,100,-85,100,100,100,-82,100,100,100,100,100,-89,100,-77,100,-90,100,-76,-75,-79,100,100,100,49.3,17.5,1,1,1,4,3,1
-37,-47,-59,-77,-83,-87,-90,100,-93,100,-92,100,-92,100,100,100,-75,-77,100,100,-45,-59,-92,100,-93,100,100,100,100,100,-85,100,100,100,-78,-84,100,100,100,100,-85,100,-78,100,-94,100,-73,-71,-78,100,100,100,49.9,17.5,1,1,1,4,3,1
-41,-48,-56,-74,-82,-87,-93,100,-89,100,-93,100,-81,100,100,100,-80,-74,100,100,-43,-54,100,100,-91,100,-95,100,-91,100,-76,100,-93,100,-72,-86,100,100,100,100,-83,100,-72,-88,-88,100,-74,-71,-80,100,100,100,50.4,17.5,1,1,1,4,3,1
-46,-50,-53,-71,-82,-80,100,100,-91,100,-81,100,-81,100,100,100,-75,-72,100,100,-48,-56,-94,100,-93,100,100,100,-93,100,-77,100,100,100,-72,-81,100,100,100,100,-82,100,-77,100,-81,100,-76,-70,-79,100,100,100,51,17.5,1,1,1,4,3,1
-54,-47,-51,-67,-68,-81,-95,100,-92,100,-92,100,100,100,100,100,-68,-62,100,100,-52,-57,100,100,100,100,100,100,100,100,-83,100,100,100,-63,-77,100,100,100,100,-82,100,-83,100,-93,100,-62,-56,-81,100,100,100,51.6,17.5,1,1,1,4,3,1
-35,-49,-60,-77,-85,-87,-93,100,-84,100,-89,100,-94,100,100,100,-74,-73,100,100,-38,-50,-95,100,-94,100,100,100,-92,100,-82,100,-92,100,-81,-84,100,100,100,100,-85,100,-81,-88,-88,100,-70,-69,-84,100,100,100,48.2,18.1,1,1,1,4,3,1
-35,-44,-61,-81,-84,-90,100,100,-84,100,-91,100,100,100,100,100,-76,-83,100,100,-41,-50,-94,100,-92,100,100,100,-93,100,-83,100,100,100,-80,-88,100,100,100,100,-88,100,-81,-89,-87,100,-75,-81,-91,100,100,100,48.7,18.1,1,1,1,4,3,1
-31,-47,-70,-80,-86,-86,-92,100,-86,100,-92,100,-94,100,100,100,-76,-82,100,100,-46,-54,-90,100,-92,100,100,100,-93,100,-82,100,100,100,-83,-86,100,100,100,100,-89,100,-80,-89,-88,100,-79,-74,-84,100,100,100,49.3,18.1,1,1,1,4,3,1
-43,-48,-63,-77,-89,-84,-85,100,-89,100,-94,100,-94,100,100,100,-78,-78,100,100,-46,-51,-91,100,100,100,-94,100,-92,100,-82,100,100,100,-81,-90,100,100,100,100,-81,100,-84,100,-90,100,-81,-76,-90,100,100,100,49.9,18.1,1,1,1,4,3,1
-52,-46,-54,-74,-81,-87,100,100,-88,100,100,100,-93,100,100,100,-77,-76,100,100,-42,-52,-92,100,100,100,-95,100,-92,100,-80,100,100,100,-73,-86,100,100,100,100,-76,100,-80,100,-91,100,-81,-75,-90,100,100,100,50.4,18.1,1,1,1,4,3,1
-38,-48,-51,-74,-80,-79,100,100,-88,100,-92,100,-93,100,100,100,-73,-73,100,100,-47,-53,-90,100,100,100,-92,100,-93,100,-76,100,100,100,-74,-79,100,100,100,100,-84,100,-73,100,-93,100,-72,-68,-86,100,100,100,51,18.1,1,1,1,4,3,1
-42,-52,-49,-68,-78,-81,-89,100,-86,100,-92,100,-92,100,100,100,-70,-68,100,100,-50,-54,-91,100,100,100,100,100,-94,100,-75,100,100,100,-68,-77,100,100,100,100,-77,100,-80,-89,-94,100,-66,-57,-82,100,100,100,51.6,18.1,1,1,1,4,3,1
-37,-49,-64,-82,-86,-89,-92,100,-87,100,-89,100,-93,100,100,100,-81,-82,100,100,-37,-49,-94,100,-92,100,-91,100,100,100,-83,100,-94,100,-87,100,100,100,100,100,-88,100,-81,-90,-91,100,-80,-75,-87,100,100,100,48.2,18.7,1,1,1,4,3,1
-36,-46,-64,-83,-89,-87,-92,100,-86,100,-88,100,-93,100,100,100,-82,-84,100,100,-44,-51,-90,100,-91,100,-91,100,100,100,-86,100,100,100,-80,100,100,100,100,100,-87,100,-79,-90,-91,100,-77,-75,-87,100,100,100,48.7,18.7,1,1,1,4,3,1
-37,-49,-65,-85,-86,-86,-94,100,-85,100,-89,100,-92,100,100,100,-82,-78,100,100,-42,-53,-90,100,-92,100,100,100,-94,100,-87,100,100,100,-79,-87,100,100,100,100,-86,100,-79,-88,-92,100,-83,-78,-91,100,100,100,49.3,18.7,1,1,1,4,3,1
-48,-47,-57,-76,-78,-86,100,100,-86,100,100,100,-94,100,100,100,-78,-78,100,100,-42,-49,100,100,-92,100,100,100,-94,100,-85,100,-93,100,-81,-82,100,100,100,100,-86,100,-79,-88,-92,100,-78,-72,-85,100,100,100,49.9,18.7,1,1,1,4,3,1
-43,-46,-56,-75,-87,-87,-93,100,-87,100,100,100,-94,100,100,100,-72,-78,100,100,-50,-50,100,100,100,100,100,100,100,100,-90,100,-93,100,-72,-83,100,100,100,100,-85,100,-79,-87,-91,100,-75,-71,-86,100,100,100,50.5,18.7,1,1,1,4,3,1
-40,-47,-54,-68,-85,-83,-91,100,-89,100,100,100,-91,100,100,100,-75,-71,100,100,-51,-54,100,100,100,100,-89,100,-92,100,-81,100,100,100,-76,-84,100,100,100,100,-88,100,-80,-87,-91,100,-69,-68,-79,100,100,100,51,18.7,1,1,1,4,3,1
-44,-48,-49,-70,-78,-76,-90,100,-89,100,-92,100,-93,100,100,100,-71,-72,100,100,-55,-49,-86,100,100,100,-88,100,-89,100,-73,100,100,100,-70,-78,100,100,100,100,-80,100,-74,-89,-91,100,-70,-64,-76,100,100,100,51.6,18.7,1,1,1,4,3,1
-38,-53,-57,-78,-80,-80,-86,100,-86,100,-92,100,-92,100,100,100,-75,-79,100,100,-50,-46,-89,100,-94,100,-87,100,-88,100,-85,100,100,100,-78,-83,100,100,100,100,-84,100,-75,100,-92,100,-74,-72,-82,100,100,100,48.2,19.3,1,1,1,4,3,1
-35,-55,-63,-80,-85,-89,-92,100,-86,100,-89,100,-92,100,100,100,-76,-83,100,100,-41,-50,-90,100,-94,100,100,100,100,100,-91,100,100,100,-79,-89,100,100,100,100,-90,100,-82,100,-92,100,-81,-77,-87,100,100,100,48.7,19.3,1,1,1,4,3,1
-42,-46,-59,-79,-87,-89,-94,100,-84,100,100,100,-91,100,100,100,-78,-82,100,100,-43,-52,-92,100,-91,100,100,100,100,100,-87,100,100,100,-75,100,100,100,100,100,-88,100,-84,100,-93,100,-80,-76,-87,100,100,100,49.3,19.3,1,1,1,4,3,1
-40,-47,-59,-75,-81,-88,-93,100,-87,100,-89,100,100,100,100,100,-76,-78,100,100,-50,-54,-92,100,-91,100,100,100,-97,100,-88,100,100,100,-79,-86,100,100,100,100,-89,100,-81,-87,-92,100,-77,-73,-85,100,100,100,49.9,19.3,1,1,1,4,3,1
-37,-48,-59,-76,-80,-87,100,100,100,100,-89,100,100,100,100,100,-77,-77,100,100,-57,-58,-92,100,100,100,100,100,-97,100,-84,100,100,100,-74,-86,100,100,100,100,100,100,-80,-88,-92,100,-82,-74,-87,100,-95,100,50.5,19.3,1,1,1,4,3,1
-37,-48,-60,-74,-83,-78,-89,100,100,100,100,100,-90,100,100,100,-76,-75,100,100,-50,-50,-90,100,100,100,100,100,100,100,-82,100,100,100,-81,-86,100,100,100,100,-79,100,-76,-84,-91,100,-78,-66,-85,100,-93,100,51,19.3,1,1,1,4,3,1
-43,-48,-54,-71,-82,-83,100,100,100,100,100,100,-90,100,100,100,-73,-72,100,100,-46,-50,-88,100,100,100,100,100,100,100,-84,100,-91,100,-71,-83,100,100,100,100,-80,100,-75,-87,-94,100,-78,-62,-83,100,-93,100,51.6,19.3,1,1,1,4,3,1
-37,-50,-59,-79,-88,-84,-87,100,-89,100,-89,100,-91,100,100,100,-78,-84,100,100,-39,-50,-93,100,100,100,100,100,100,100,-89,100,-91,100,-75,-82,100,100,100,100,-88,100,-81,-88,-96,100,-78,-75,-82,100,100,100,48.2,19.8,1,1,1,4,3,1
-37,-49,-63,-78,-84,-89,-90,100,-90,100,-89,100,-91,100,100,100,-79,-84,100,100,-44,-52,-93,100,100,100,100,100,100,100,-86,100,100,100,-85,100,100,100,100,100,-91,100,-81,100,-92,100,-76,-82,-82,100,100,100,48.7,19.8,1,1,1,4,3,1
-40,-47,-63,-81,-86,-89,-90,100,-89,100,100,100,100,100,100,100,-83,-78,100,100,-45,-55,100,100,100,100,100,100,100,100,-83,100,100,100,-88,-88,100,100,100,100,-93,100,-80,100,-90,100,-76,-73,-92,100,-92,100,49.3,19.8,1,1,1,4,3,1
-44,-46,-62,-80,-84,-83,-92,100,-89,100,100,100,100,100,100,100,-80,-79,100,100,-45,-53,100,100,100,100,100,100,100,100,-84,100,100,100,-82,-87,100,100,100,100,-93,100,-81,-91,100,100,-80,-69,-88,100,-92,100,49.9,19.8,1,1,1,4,3,1
-37,-45,-59,-80,-82,-85,-89,100,-92,100,100,100,100,100,100,100,-78,-75,100,100,-46,-58,-89,100,100,100,100,100,100,100,-86,100,100,100,-74,-85,100,100,100,100,100,100,-81,-91,-89,100,-78,-72,-86,100,100,100,50.5,19.8,1,1,1,4,3,1
-40,-51,-52,-81,-79,-86,-79,100,-92,100,100,100,100,100,100,100,-78,-72,100,100,-51,-58,-91,100,100,100,-93,100,100,100,-83,100,100,100,-68,-83,100,100,100,100,-86,100,-75,-88,-91,100,-73,-69,-88,100,100,100,51,19.8,1,1,1,4,3,1
-40,-49,-52,-75,-74,-87,-75,100,-92,100,100,100,100,100,100,100,-70,-76,100,100,-57,-53,-92,100,100,100,-93,100,100,100,-82,100,100,100,-66,-81,100,100,100,100,-86,100,-78,-87,-93,100,-72,-62,-83,100,100,100,51.6,19.8,1,1,1,4,3,1
-40,-56,-60,-82,-72,-90,-94,100,-89,100,100,100,100,100,100,100,-78,-82,100,100,-45,-58,100,100,100,100,100,100,100,100,-90,100,100,100,-83,-80,100,100,100,100,-88,100,-79,-86,-93,100,-80,-72,-81,100,100,100,48.2,20.4,1,1,1,4,3,1
-39,-54,-65,-85,-92,-91,-93,100,-89,100,100,100,100,100,100,100,-84,-84,100,100,-47,-54,100,100,100,100,100,100,100,100,-93,100,100,100,-85,100,100,100,100,100,-88,100,-87,100,100,100,-80,-76,100,100,100,100,48.7,20.4,1,1,1,4,3,1
-41,-60,-57,-86,-86,100,-93,100,-89,100,-94,100,-95,100,100,100,-80,-81,100,100,-48,-60,100,100,100,100,100,100,100,100,-88,100,100,100,-83,-85,100,100,100,100,-89,100,-86,100,100,100,-79,-75,100,100,100,100,49.3,20.4,1,1,1,4,3,1
-41,-57,-62,-79,-83,-82,100,100,-89,100,-94,100,-92,100,100,100,-78,-80,100,100,-45,-60,-91,100,100,100,100,100,100,100,-90,100,100,100,-87,-88,100,100,100,100,-89,100,-85,-89,-90,100,-81,-73,100,100,100,100,49.9,20.4,1,1,1,4,3,1
-41,-51,-57,-80,-79,-82,-85,100,-91,100,100,100,-93,100,100,100,-78,-76,100,100,-51,-61,-91,100,100,100,100,100,100,100,-86,100,100,100,-85,-88,100,100,100,100,-92,100,-82,-89,-90,100,-77,-68,100,100,100,100,50.5,20.4,1,1,1,4,3,1
-38,-45,-58,-79,-78,-83,-89,100,-91,100,100,100,-92,100,100,100,-75,-70,100,100,-49,-59,100,100,100,100,100,100,100,100,-84,100,100,100,-83,-84,100,100,100,100,-92,100,-81,100,100,100,-73,-64,-85,100,100,100,51,20.4,1,1,1,4,3,1
-36,-45,-52,-74,-81,-77,-93,100,-90,100,-93,100,-92,100,100,100,-71,-65,100,100,-49,-60,-89,100,100,100,100,100,100,100,-89,100,100,100,-77,-77,100,100,100,100,100,100,-85,100,-91,100,-66,-61,-84,100,100,100,51.6,20.4,1,1,1,4,3,1
-55,-64,-38,-60,-66,-64,-87,100,100,100,-94,100,-88,100,100,100,-56,-61,-91,100,-56,-68,-89,100,-91,100,-88,100,-86,100,-64,100,-88,100,-49,-66,-89,100,-91,100,-82,100,-76,100,100,100,-57,-48,-84,100,-86,100,54.1,14.4,1,1,1,4,3,1
-52,-57,-37,-55,-71,-65,-89,100,100,100,100,100,-90,100,100,100,-56,-64,-91,100,-68,-61,-88,100,-89,100,100,100,-85,100,-84,100,-84,100,-54,-66,-94,100,100,100,-80,-90,-82,100,100,100,-57,-57,-87,100,100,100,54.1,15.2,1,1,1,4,3,1
-49,-60,-36,-57,-65,-65,-91,100,-94,100,-91,100,-91,100,100,100,-55,-59,-85,100,-57,-57,-88,100,100,100,100,100,-83,100,-83,100,-84,100,-53,-71,100,100,-89,100,-78,-91,-77,100,100,100,-52,-48,-84,100,100,100,54.1,16,1,1,1,4,3,1
-47,-56,-37,-55,-62,-65,-91,100,-92,100,-92,100,-90,100,100,100,-60,-53,-86,100,-40,-53,-90,100,100,100,100,100,-82,100,-79,100,-84,100,-53,-68,100,100,-89,100,-70,-90,-74,100,100,100,-49,-55,-87,100,-93,100,54.1,16.9,1,1,1,4,3,1
-43,-49,-34,-57,-58,-70,100,100,-90,100,100,100,-94,100,100,100,-60,-52,100,100,-40,-53,-87,100,100,100,100,100,-78,100,-83,100,-87,100,-56,-64,100,100,-92,100,-72,-90,-70,100,100,100,-52,-54,-82,100,-93,100,54.1,17.7,1,1,1,4,3,1
-45,-53,-35,-54,-63,-70,-92,100,-90,100,100,100,-94,100,100,100,-62,-54,100,100,-44,-57,-87,100,100,100,100,100,-79,100,-81,100,-88,100,-53,-66,100,100,-93,100,-75,-86,-65,100,100,100,-54,-49,-83,100,100,100,54.1,18.5,1,1,1,4,3,1
-39,-50,-37,-53,-65,-67,100,100,-85,100,-94,100,-92,100,100,100,-56,-55,-85,100,-48,-60,100,100,100,100,100,100,-85,100,-78,100,-91,100,-53,-64,-93,100,-91,100,-65,-84,-76,-83,100,100,-50,-46,-82,100,100,100,54.1,19.4,1,1,1,4,3,1
